"";"CODIND";"NOMINDICADOR";"CATEGORIA";"PESTAÑA";"SEXO";"ASCENDENCIA";"QUINTIL";"DEPARTAMENTOUY";"URBANORURALUY";"EDAD";"POBRE";"NSE";"NIVELEDU";"PAÍS";"ANIO";"VALOR";"RESPONSABLE"
"17";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.187145920577286";"Sharon Katzkowicz"
"18";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.138479052183099";"Sharon Katzkowicz"
"19";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.30117220736567";"Sharon Katzkowicz"
"20";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.241289172040915";"Sharon Katzkowicz"
"21";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0";"Sharon Katzkowicz"
"22";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0";"Sharon Katzkowicz"
"23";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0739179811910152";"Sharon Katzkowicz"
"24";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Mujeres";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0579956666420162";"Sharon Katzkowicz"
"25";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.160273759212899";"Sharon Katzkowicz"
"26";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.219117448771551";"Sharon Katzkowicz"
"27";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.345666356476279";"Sharon Katzkowicz"
"28";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0884916177372556";"Sharon Katzkowicz"
"29";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.00247199501146442";"Sharon Katzkowicz"
"30";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0919560862728545";"Sharon Katzkowicz"
"31";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0270872705890228";"Sharon Katzkowicz"
"32";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Menor de 30 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0649354659286738";"Sharon Katzkowicz"
"33";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.120038742803538";"Sharon Katzkowicz"
"34";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.110161256877067";"Sharon Katzkowicz"
"35";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.548967533555558";"Sharon Katzkowicz"
"36";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.130928767171493";"Sharon Katzkowicz"
"37";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0105133963631395";"Sharon Katzkowicz"
"38";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0467138577452623";"Sharon Katzkowicz"
"39";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0227139831577854";"Sharon Katzkowicz"
"40";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 30 y 44 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.00996246232615597";"Sharon Katzkowicz"
"41";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.133575675480094";"Sharon Katzkowicz"
"42";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.14343186110087";"Sharon Katzkowicz"
"43";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.411907393581395";"Sharon Katzkowicz"
"44";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.144554907381515";"Sharon Katzkowicz"
"45";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0302873952720272";"Sharon Katzkowicz"
"46";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0705167149690549";"Sharon Katzkowicz"
"47";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0433987779501725";"Sharon Katzkowicz"
"48";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"Entre 45 y 64 años";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0223272742648714";"Sharon Katzkowicz"
"49";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.318270124479006";"Sharon Katzkowicz"
"50";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.322026220123334";"Sharon Katzkowicz"
"51";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0867670959262395";"Sharon Katzkowicz"
"52";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0917211901045675";"Sharon Katzkowicz"
"53";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.018226542822297";"Sharon Katzkowicz"
"54";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0611311619174551";"Sharon Katzkowicz"
"55";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0499322804179185";"Sharon Katzkowicz"
"56";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Todos";"Todos";"Urbano (más de 5.000 habitantes)";"65 años o más";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0519253842091824";"Sharon Katzkowicz"
"57";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0320320822890183";"Sharon Katzkowicz"
"58";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0470328304739533";"Sharon Katzkowicz"
"59";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.48053186568282";"Sharon Katzkowicz"
"60";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.216469860444854";"Sharon Katzkowicz"
"61";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0222652944152672";"Sharon Katzkowicz"
"62";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0847912870636074";"Sharon Katzkowicz"
"63";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0935724436744143";"Sharon Katzkowicz"
"64";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 1";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0233043359560664";"Sharon Katzkowicz"
"65";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0787042894542556";"Sharon Katzkowicz"
"66";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.131911979190349";"Sharon Katzkowicz"
"67";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.452672749979407";"Sharon Katzkowicz"
"68";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.14310389549875";"Sharon Katzkowicz"
"69";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0189657316851295";"Sharon Katzkowicz"
"70";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0860981164937643";"Sharon Katzkowicz"
"71";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0530578864536107";"Sharon Katzkowicz"
"72";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 2";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0354853512447344";"Sharon Katzkowicz"
"73";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.157864827418464";"Sharon Katzkowicz"
"74";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.207808903822932";"Sharon Katzkowicz"
"75";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.370350956683628";"Sharon Katzkowicz"
"76";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.116308986310699";"Sharon Katzkowicz"
"77";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0218914514964";"Sharon Katzkowicz"
"78";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0661110718485557";"Sharon Katzkowicz"
"79";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0326564619000961";"Sharon Katzkowicz"
"80";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 3";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0270073405192253";"Sharon Katzkowicz"
"81";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.231999854368723";"Sharon Katzkowicz"
"82";"500";"Distribución porcentual de los hogares según tipo de hogar (Pareja sin hijos)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.234591958631332";"Sharon Katzkowicz"
"83";"500";"Distribución porcentual de los hogares según tipo de hogar (Biparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.316461108364957";"Sharon Katzkowicz"
"84";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental femenino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0891569024223309";"Sharon Katzkowicz"
"85";"500";"Distribución porcentual de los hogares según tipo de hogar (Monoparental masculino)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0164237431297487";"Sharon Katzkowicz"
"86";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido o compuesto)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0560947159125499";"Sharon Katzkowicz"
"87";"500";"Distribución porcentual de los hogares según tipo de hogar (Extendido con núcleo monoparental)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0172813543755935";"Sharon Katzkowicz"
"88";"500";"Distribución porcentual de los hogares según tipo de hogar (Sin núcleo)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 4";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.0379903627947661";"Sharon Katzkowicz"
"89";"500";"Distribución porcentual de los hogares según tipo de hogar (Unipersonal)";"Familia y composición de los hogares";"País urbano";"Todos";"Todos";"Quintil 5";"Todos";"Urbano (más de 5.000 habitantes)";"Todos";"Todos";"Todos";"Todos";"Uruguay";2021;"0.34630526580789";"Sharon Katzkowicz"
